Orden;Fecha;Mesa;Atendió;Propina;Tipo de Cliente;Sucursal
42;03/11/2014;12;Ernesto;13%;Cliente Repetido;La Paz
43;23/10/2014;6;Omar;17%;Cliente Nuevo;La Estancia
44;20/05/2014;3;Rodolfo;15%;Cliente Repetido;Chapultepec
45;15/03/2014;5;Mariana;12%;Cliente Repetido;Chapultepec
46;07/04/2014;5;Valentina;17%;Cliente Nuevo;Chapultepec
47;29/04/2014;2;Omar;16%;Cliente Nuevo;La Estancia
48;26/03/2014;10;Mariana;6%;Cliente Nuevo;Chapultepec
49;07/12/2014;10;Saul;16%;Cliente Nuevo;La Estancia
50;10/10/2014;4;Mauricio;20%;Cliente Nuevo;La Paz
51;02/07/2014;13;Omar;5%;Cliente Nuevo;La Paz
52;26/07/2014;3;Mariana;14%;Cliente Nuevo;La Estancia
53;05/10/2014;10;Ernesto;11%;Cliente Nuevo;Chapultepec
54;22/06/2014;16;Saul;7%;Cliente Repetido;Chapultepec
55;14/06/2014;14;Rodolfo;9%;Cliente Repetido;La Paz
56;11/08/2014;7;Omar;5%;Cliente Nuevo;Chapultepec
57;18/10/2014;7;Mauricio;20%;Cliente Nuevo;La Paz
58;28/07/2014;8;Omar;6%;Cliente Nuevo;La Paz
59;07/08/2014;4;Valentina;11%;Cliente Nuevo;La Estancia
60;23/10/2014;17;Omar;12%;Cliente Nuevo;La Paz
61;29/05/2014;5;Mariana;6%;Cliente Nuevo;La Estancia
62;10/02/2014;12;Alejandro;12%;Cliente Repetido;Chapultepec
63;14/06/2014;3;Mariana;17%;Cliente Nuevo;La Paz
64;09/09/2014;6;Valentina;6%;Cliente Repetido;La Estancia
65;07/02/2014;4;Alejandro;14%;Cliente Repetido;Chapultepec
66;11/10/2014;5;Mauricio;20%;Cliente Nuevo;La Estancia
67;01/04/2014;4;Saul;14%;Cliente Repetido;La Paz
68;13/12/2014;15;Mauricio;20%;Cliente Nuevo;La Estancia
69;10/02/2014;13;Alejandro;13%;Cliente Repetido;Chapultepec
70;05/03/2014;1;Rodolfo;10%;Cliente Repetido;La Paz
71;14/03/2014;13;Valentina;12%;Cliente Repetido;La Estancia
72;06/10/2014;2;Ernesto;14%;Cliente Nuevo;La Paz
73;04/06/2014;13;Joel;5%;Cliente Nuevo;Chapultepec
74;28/09/2014;13;Saul;5%;Cliente Repetido;Chapultepec
75;24/02/2014;17;Valentina;9%;Cliente Nuevo;La Estancia
76;04/11/2014;6;Mariana;13%;Cliente Repetido;La Paz
77;24/11/2014;9;Mariana;5%;Cliente Repetido;Chapultepec
78;17/11/2014;14;Rodolfo;7%;Cliente Nuevo;La Estancia
79;09/03/2014;15;Mariana;15%;Cliente Repetido;La Paz
80;10/11/2014;6;Joel;14%;Cliente Nuevo;La Estancia
81;07/09/2014;13;Mariana;6%;Cliente Nuevo;La Estancia
82;28/08/2014;10;Ernesto;14%;Cliente Nuevo;La Paz
83;22/10/2014;1;Omar;5%;Cliente Nuevo;Chapultepec
84;17/01/2015;5;Mauricio;20%;Cliente Nuevo;Chapultepec
85;24/10/2014;15;Mauricio;20%;Cliente Nuevo;La Paz
86;21/08/2014;4;Alejandro;15%;Cliente Nuevo;La Paz
87;23/09/2014;8;Omar;6%;Cliente Nuevo;La Paz
88;24/11/2014;9;Alejandro;15%;Cliente Nuevo;La Paz
89;14/06/2014;9;Alejandro;17%;Cliente Nuevo;Chapultepec
90;30/03/2014;1;Mariana;9%;Cliente Repetido;Chapultepec
91;12/01/2015;1;Ernesto;12%;Cliente Nuevo;Chapultepec
92;20/07/2014;10;Saul;8%;Cliente Repetido;La Paz
93;18/01/2015;14;Alejandro;17%;Cliente Nuevo;La Paz
94;10/05/2014;14;Rodolfo;11%;Cliente Nuevo;La Estancia
95;16/05/2014;3;Ernesto;5%;Cliente Nuevo;Chapultepec
96;26/04/2014;5;Mariana;16%;Cliente Repetido;La Paz
97;20/10/2014;7;Saul;15%;Cliente Repetido;La Paz
98;22/03/2014;5;Alejandro;14%;Cliente Nuevo;La Paz
99;06/06/2014;6;Rodolfo;11%;Cliente Nuevo;Chapultepec
100;01/10/2014;9;Ernesto;11%;Cliente Nuevo;La Paz
101;28/08/2014;9;Joel;11%;Cliente Nuevo;La Estancia
102;23/05/2014;14;Ernesto;9%;Cliente Nuevo;La Estancia
103;24/03/2014;8;Saul;14%;Cliente Nuevo;Chapultepec
104;28/07/2014;8;Alejandro;15%;Cliente Nuevo;Chapultepec
105;24/06/2014;4;Joel;7%;Cliente Repetido;Chapultepec
106;10/02/2014;14;Ernesto;7%;Cliente Nuevo;La Estancia
107;28/11/2014;16;Mauricio;20%;Cliente Nuevo;La Paz
108;04/07/2014;4;Saul;15%;Cliente Nuevo;Chapultepec
109;12/09/2014;3;Mauricio;20%;Cliente Nuevo;La Estancia
110;25/03/2014;9;Alejandro;12%;Cliente Repetido;La Paz
111;23/08/2014;16;Ernesto;6%;Cliente Nuevo;La Estancia
112;14/01/2015;16;Ernesto;14%;Cliente Nuevo;Chapultepec
113;26/11/2014;12;Ernesto;11%;Cliente Nuevo;La Paz
114;21/06/2014;17;Omar;12%;Cliente Nuevo;Chapultepec
115;10/02/2014;3;Mariana;5%;Cliente Nuevo;Chapultepec
116;08/12/2014;11;Valentina;10%;Cliente Nuevo;La Estancia
117;17/12/2014;17;Omar;17%;Cliente Nuevo;La Paz
118;05/08/2014;15;Rodolfo;8%;Cliente Nuevo;La Paz
119;20/11/2014;13;Alejandro;6%;Cliente Repetido;Chapultepec
120;14/02/2014;9;Mariana;13%;Cliente Nuevo;La Paz
121;08/12/2014;8;Saul;11%;Cliente Nuevo;Chapultepec
122;04/12/2014;4;Rodolfo;14%;Cliente Nuevo;La Paz
123;14/09/2014;7;Mariana;10%;Cliente Nuevo;Chapultepec
124;03/05/2014;17;Valentina;8%;Cliente Nuevo;Chapultepec
125;09/02/2014;12;Omar;5%;Cliente Repetido;La Estancia
126;24/09/2014;12;Saul;16%;Cliente Nuevo;Chapultepec
127;07/06/2014;4;Valentina;7%;Cliente Nuevo;Chapultepec
128;14/02/2014;10;Mariana;6%;Cliente Repetido;La Paz
129;26/09/2014;11;Mauricio;20%;Cliente Nuevo;Chapultepec
130;03/11/2014;4;Valentina;14%;Cliente Nuevo;Chapultepec
131;18/02/2014;16;Alejandro;8%;Cliente Nuevo;La Paz
132;16/07/2014;15;Joel;7%;Cliente Repetido;Chapultepec
133;26/03/2014;2;Alejandro;16%;Cliente Nuevo;Chapultepec
134;01/08/2014;15;Rodolfo;12%;Cliente Nuevo;La Paz
135;11/05/2014;1;Joel;11%;Cliente Repetido;La Estancia
136;05/03/2014;4;Omar;11%;Cliente Nuevo;Chapultepec
137;21/07/2014;9;Alejandro;6%;Cliente Nuevo;La Estancia
138;08/06/2014;16;Alejandro;14%;Cliente Nuevo;La Estancia
139;03/08/2014;1;Joel;11%;Cliente Repetido;Chapultepec
140;05/09/2014;17;Mauricio;20%;Cliente Nuevo;La Paz
141;21/07/2014;9;Alejandro;13%;Cliente Nuevo;Chapultepec
142;12/10/2014;6;Mariana;16%;Cliente Repetido;La Paz
143;25/04/2014;6;Rodolfo;9%;Cliente Nuevo;La Estancia
144;29/08/2014;2;Ernesto;16%;Cliente Nuevo;Chapultepec
145;16/04/2014;7;Mariana;9%;Cliente Nuevo;Chapultepec
146;15/05/2014;8;Joel;5%;Cliente Nuevo;La Estancia
147;28/11/2014;11;Mauricio;20%;Cliente Nuevo;La Paz
148;15/08/2014;15;Joel;14%;Cliente Repetido;Chapultepec
149;10/11/2014;16;Rodolfo;15%;Cliente Nuevo;La Estancia
150;15/07/2014;13;Ernesto;5%;Cliente Repetido;La Paz
151;10/09/2014;14;Valentina;12%;Cliente Repetido;La Paz
152;15/03/2014;1;Mariana;15%;Cliente Nuevo;La Paz
153;03/01/2015;3;Mauricio;20%;Cliente Nuevo;La Estancia
154;12/11/2014;17;Alejandro;10%;Cliente Nuevo;La Estancia
155;09/02/2014;8;Saul;14%;Cliente Nuevo;La Paz
156;25/08/2014;14;Rodolfo;12%;Cliente Nuevo;La Paz
157;05/12/2014;17;Mauricio;20%;Cliente Nuevo;La Paz
158;10/01/2015;13;Mauricio;20%;Cliente Nuevo;Chapultepec
159;11/05/2014;5;Saul;8%;Cliente Nuevo;La Estancia
160;27/02/2014;14;Joel;12%;Cliente Nuevo;La Estancia
161;26/09/2014;7;Mauricio;20%;Cliente Nuevo;Chapultepec
162;08/04/2014;17;Rodolfo;5%;Cliente Nuevo;La Paz
163;27/02/2014;5;Mariana;7%;Cliente Nuevo;La Estancia
164;24/08/2014;14;Omar;17%;Cliente Nuevo;Chapultepec
165;20/03/2014;14;Rodolfo;14%;Cliente Repetido;La Paz
166;08/03/2014;9;Ernesto;8%;Cliente Nuevo;Chapultepec
167;17/08/2014;11;Omar;17%;Cliente Nuevo;La Estancia
168;12/09/2014;4;Mauricio;20%;Cliente Nuevo;La Paz
169;28/07/2014;17;Ernesto;7%;Cliente Nuevo;La Paz
170;23/09/2014;16;Joel;14%;Cliente Nuevo;La Estancia
171;03/09/2014;1;Omar;17%;Cliente Nuevo;Chapultepec
172;04/09/2014;9;Rodolfo;9%;Cliente Nuevo;Chapultepec
173;15/12/2014;4;Joel;14%;Cliente Nuevo;La Paz
174;10/08/2014;17;Saul;14%;Cliente Nuevo;Chapultepec
175;16/02/2014;14;Rodolfo;9%;Cliente Nuevo;Chapultepec
176;25/10/2014;4;Mauricio;20%;Cliente Nuevo;Chapultepec
177;21/12/2014;2;Mariana;14%;Cliente Nuevo;La Paz
178;07/07/2014;17;Alejandro;10%;Cliente Nuevo;La Estancia
179;14/04/2014;2;Omar;7%;Cliente Repetido;La Paz
180;13/01/2015;15;Joel;10%;Cliente Nuevo;La Estancia
181;23/04/2014;4;Valentina;9%;Cliente Nuevo;La Paz
182;10/08/2014;1;Rodolfo;5%;Cliente Nuevo;Chapultepec
183;08/09/2014;4;Valentina;11%;Cliente Repetido;La Estancia
184;20/03/2014;5;Omar;8%;Cliente Nuevo;Chapultepec
185;24/05/2014;14;Omar;17%;Cliente Repetido;La Paz
186;29/10/2014;9;Mariana;8%;Cliente Nuevo;Chapultepec
187;12/05/2014;10;Ernesto;11%;Cliente Nuevo;La Paz
188;13/01/2015;16;Alejandro;8%;Cliente Nuevo;La Estancia
189;23/03/2014;14;Mariana;13%;Cliente Repetido;La Paz
190;30/10/2014;2;Valentina;12%;Cliente Repetido;La Estancia
191;15/11/2014;9;Mauricio;20%;Cliente Nuevo;La Estancia
192;03/10/2014;13;Mauricio;20%;Cliente Nuevo;La Estancia
193;19/02/2014;8;Omar;14%;Cliente Nuevo;La Paz
194;14/03/2014;14;Joel;17%;Cliente Nuevo;La Paz
195;13/01/2015;12;Mariana;11%;Cliente Nuevo;La Paz
196;11/05/2014;5;Joel;11%;Cliente Nuevo;La Estancia
197;20/08/2014;5;Mariana;17%;Cliente Nuevo;La Estancia
198;24/08/2014;1;Valentina;14%;Cliente Nuevo;Chapultepec
199;05/07/2014;16;Valentina;6%;Cliente Nuevo;La Estancia
200;03/02/2014;8;Mariana;12%;Cliente Repetido;Chapultepec
201;01/09/2014;10;Mariana;10%;Cliente Nuevo;La Paz
202;18/04/2014;17;Saul;11%;Cliente Repetido;La Paz
203;30/06/2014;10;Alejandro;5%;Cliente Nuevo;La Estancia
204;12/11/2014;8;Mariana;5%;Cliente Nuevo;La Estancia
205;28/06/2014;14;Mariana;6%;Cliente Nuevo;La Paz
206;26/11/2014;2;Alejandro;11%;Cliente Nuevo;La Paz
207;18/02/2014;7;Omar;12%;Cliente Nuevo;La Paz
208;24/03/2014;15;Alejandro;7%;Cliente Nuevo;La Estancia
209;05/09/2014;10;Mauricio;20%;Cliente Nuevo;La Estancia
210;17/04/2014;10;Rodolfo;8%;Cliente Nuevo;Chapultepec
211;11/07/2014;16;Omar;7%;Cliente Nuevo;Chapultepec
212;31/01/2015;16;Mauricio;20%;Cliente Nuevo;Chapultepec
213;09/11/2014;2;Alejandro;6%;Cliente Nuevo;La Estancia
214;28/09/2014;2;Valentina;16%;Cliente Nuevo;La Paz
215;09/01/2015;10;Mauricio;20%;Cliente Nuevo;Chapultepec
216;26/06/2014;17;Valentina;8%;Cliente Repetido;Chapultepec
217;10/09/2014;2;Saul;16%;Cliente Repetido;La Estancia
218;18/02/2014;14;Omar;5%;Cliente Nuevo;Chapultepec
219;18/02/2014;13;Joel;9%;Cliente Nuevo;La Estancia
220;27/01/2015;11;Valentina;7%;Cliente Nuevo;Chapultepec
221;05/12/2014;4;Mauricio;20%;Cliente Nuevo;La Paz
222;22/05/2014;1;Joel;16%;Cliente Repetido;La Estancia
223;04/08/2014;3;Joel;5%;Cliente Nuevo;Chapultepec
224;13/08/2014;12;Mariana;11%;Cliente Nuevo;La Estancia
225;12/02/2014;6;Alejandro;15%;Cliente Nuevo;Chapultepec
226;16/12/2014;2;Rodolfo;6%;Cliente Nuevo;La Paz
227;09/03/2014;15;Joel;10%;Cliente Nuevo;Chapultepec
228;29/12/2014;12;Ernesto;16%;Cliente Nuevo;La Estancia
229;01/10/2014;3;Ernesto;13%;Cliente Nuevo;Chapultepec
230;31/10/2014;3;Mauricio;20%;Cliente Nuevo;La Estancia
231;17/11/2014;5;Valentina;10%;Cliente Repetido;La Paz
232;25/11/2014;10;Saul;9%;Cliente Nuevo;La Paz
233;07/02/2014;9;Rodolfo;11%;Cliente Repetido;Chapultepec
234;13/12/2014;7;Mauricio;20%;Cliente Nuevo;La Paz
235;26/07/2014;12;Alejandro;9%;Cliente Repetido;La Paz
236;11/06/2014;16;Alejandro;12%;Cliente Nuevo;La Estancia
237;08/06/2014;11;Saul;15%;Cliente Repetido;Chapultepec
238;17/05/2014;11;Saul;9%;Cliente Nuevo;Chapultepec
239;13/05/2014;3;Mariana;14%;Cliente Nuevo;La Paz
240;26/10/2014;7;Joel;7%;Cliente Repetido;La Estancia
241;22/02/2014;8;Ernesto;7%;Cliente Nuevo;La Estancia
242;29/06/2014;9;Mariana;9%;Cliente Repetido;Chapultepec
243;07/03/2014;4;Joel;17%;Cliente Nuevo;La Paz
244;30/06/2014;13;Alejandro;7%;Cliente Nuevo;La Paz
245;05/07/2014;15;Rodolfo;14%;Cliente Nuevo;La Paz
246;14/03/2014;16;Ernesto;6%;Cliente Repetido;La Estancia
247;12/02/2014;15;Ernesto;5%;Cliente Repetido;Chapultepec
248;16/05/2014;8;Rodolfo;6%;Cliente Repetido;Chapultepec
249;10/10/2014;9;Omar;11%;Cliente Nuevo;La Estancia
250;20/12/2014;1;Rodolfo;10%;Cliente Nuevo;Chapultepec
251;22/08/2014;6;Saul;17%;Cliente Repetido;Chapultepec
252;05/09/2014;14;Ernesto;11%;Cliente Nuevo;La Estancia
253;08/06/2014;9;Ernesto;14%;Cliente Nuevo;Chapultepec
254;12/07/2014;6;Rodolfo;6%;Cliente Nuevo;La Estancia
255;17/05/2014;11;Joel;11%;Cliente Nuevo;La Estancia
256;17/10/2014;12;Joel;7%;Cliente Nuevo;La Estancia
257;21/06/2014;14;Mariana;13%;Cliente Nuevo;La Estancia
258;10/11/2014;14;Rodolfo;12%;Cliente Nuevo;La Estancia
259;24/12/2014;8;Ernesto;13%;Cliente Nuevo;La Paz
260;04/04/2014;6;Alejandro;10%;Cliente Nuevo;Chapultepec
261;05/10/2014;4;Joel;16%;Cliente Nuevo;Chapultepec
262;29/09/2014;1;Mariana;12%;Cliente Nuevo;Chapultepec
263;29/03/2014;1;Omar;15%;Cliente Nuevo;Chapultepec
264;01/10/2014;1;Ernesto;15%;Cliente Repetido;Chapultepec
265;12/10/2014;4;Rodolfo;14%;Cliente Nuevo;La Paz
266;18/07/2014;5;Ernesto;12%;Cliente Repetido;La Paz
267;20/04/2014;2;Mariana;7%;Cliente Repetido;La Paz
268;23/09/2014;13;Omar;5%;Cliente Nuevo;Chapultepec
269;07/06/2014;12;Saul;11%;Cliente Nuevo;La Paz
270;26/04/2014;7;Rodolfo;16%;Cliente Nuevo;La Estancia
271;24/09/2014;8;Valentina;11%;Cliente Nuevo;La Paz
272;06/04/2014;11;Saul;9%;Cliente Nuevo;Chapultepec
273;03/10/2014;9;Mauricio;20%;Cliente Nuevo;La Estancia
274;28/06/2014;2;Ernesto;5%;Cliente Repetido;La Paz
275;26/03/2014;6;Saul;13%;Cliente Nuevo;La Estancia
276;21/01/2015;5;Valentina;17%;Cliente Nuevo;La Estancia
277;20/06/2014;3;Ernesto;9%;Cliente Nuevo;La Estancia
278;11/04/2014;12;Omar;17%;Cliente Nuevo;La Paz
279;29/01/2015;4;Alejandro;10%;Cliente Repetido;Chapultepec
280;09/11/2014;7;Mariana;17%;Cliente Repetido;Chapultepec
281;19/06/2014;9;Valentina;14%;Cliente Nuevo;La Estancia
282;23/10/2014;11;Ernesto;11%;Cliente Repetido;La Paz
283;15/08/2014;16;Saul;14%;Cliente Repetido;La Estancia
284;26/07/2014;14;Joel;15%;Cliente Nuevo;La Estancia
285;27/07/2014;15;Alejandro;11%;Cliente Repetido;Chapultepec
286;11/06/2014;11;Ernesto;7%;Cliente Nuevo;Chapultepec
287;08/12/2014;5;Saul;11%;Cliente Repetido;La Estancia
288;19/01/2015;2;Joel;15%;Cliente Nuevo;La Paz
289;13/07/2014;10;Ernesto;12%;Cliente Repetido;La Paz
290;01/02/2014;11;Valentina;14%;Cliente Nuevo;Chapultepec
291;04/07/2014;12;Joel;17%;Cliente Nuevo;Chapultepec
292;10/02/2014;14;Joel;14%;Cliente Nuevo;Chapultepec
293;15/06/2014;10;Ernesto;8%;Cliente Nuevo;Chapultepec
294;10/09/2014;3;Rodolfo;13%;Cliente Nuevo;La Paz
295;30/01/2015;6;Mauricio;20%;Cliente Nuevo;Chapultepec
296;27/09/2014;6;Mauricio;20%;Cliente Nuevo;La Paz
297;11/02/2014;1;Alejandro;5%;Cliente Nuevo;Chapultepec
298;19/04/2014;5;Omar;16%;Cliente Nuevo;Chapultepec
299;15/10/2014;8;Alejandro;16%;Cliente Nuevo;Chapultepec
300;14/10/2014;8;Alejandro;13%;Cliente Nuevo;Chapultepec
301;10/07/2014;14;Mariana;11%;Cliente Nuevo;La Estancia
302;13/09/2014;12;Alejandro;5%;Cliente Nuevo;La Estancia
303;12/03/2014;5;Rodolfo;9%;Cliente Nuevo;Chapultepec
304;07/03/2014;1;Rodolfo;12%;Cliente Repetido;La Paz
305;18/11/2014;17;Rodolfo;5%;Cliente Nuevo;Chapultepec
306;12/06/2014;16;Mariana;10%;Cliente Repetido;Chapultepec
307;04/12/2014;5;Rodolfo;10%;Cliente Nuevo;Chapultepec
308;24/08/2014;5;Joel;6%;Cliente Nuevo;La Paz
309;01/03/2014;12;Omar;17%;Cliente Nuevo;La Estancia
310;16/09/2014;15;Saul;16%;Cliente Repetido;La Estancia
311;04/01/2015;12;Rodolfo;15%;Cliente Nuevo;La Paz
312;04/04/2014;10;Joel;17%;Cliente Nuevo;La Estancia
313;06/04/2014;13;Alejandro;17%;Cliente Nuevo;La Paz
314;11/09/2014;9;Ernesto;10%;Cliente Repetido;La Estancia
315;25/06/2014;13;Omar;12%;Cliente Nuevo;La Estancia
316;05/03/2014;6;Joel;9%;Cliente Nuevo;Chapultepec
317;30/10/2014;9;Joel;16%;Cliente Repetido;La Estancia
318;04/04/2014;15;Ernesto;14%;Cliente Repetido;La Estancia
319;11/06/2014;10;Alejandro;16%;Cliente Nuevo;Chapultepec
320;21/02/2014;16;Alejandro;11%;Cliente Repetido;La Estancia
321;28/07/2014;9;Mariana;15%;Cliente Nuevo;Chapultepec
322;17/12/2014;1;Mariana;12%;Cliente Nuevo;Chapultepec
323;05/02/2014;8;Rodolfo;10%;Cliente Nuevo;Chapultepec
324;15/03/2014;3;Ernesto;16%;Cliente Nuevo;La Estancia
325;06/04/2014;13;Omar;9%;Cliente Nuevo;Chapultepec
326;02/05/2014;1;Alejandro;12%;Cliente Nuevo;La Paz
327;25/03/2014;16;Saul;9%;Cliente Nuevo;Chapultepec
328;05/01/2015;8;Joel;8%;Cliente Nuevo;La Paz
329;25/02/2014;2;Ernesto;9%;Cliente Nuevo;La Paz
330;15/08/2014;4;Mariana;15%;Cliente Repetido;Chapultepec
331;30/03/2014;4;Valentina;10%;Cliente Nuevo;La Paz
332;21/03/2014;11;Alejandro;17%;Cliente Nuevo;La Estancia
333;10/08/2014;1;Joel;14%;Cliente Nuevo;La Paz
334;25/10/2014;8;Mauricio;20%;Cliente Nuevo;La Estancia
335;12/05/2014;4;Rodolfo;6%;Cliente Repetido;La Estancia
336;03/06/2014;2;Ernesto;10%;Cliente Nuevo;Chapultepec
337;31/12/2014;7;Omar;14%;Cliente Nuevo;Chapultepec
338;10/11/2014;15;Saul;13%;Cliente Nuevo;La Paz
339;17/09/2014;11;Ernesto;15%;Cliente Nuevo;La Paz
340;23/11/2014;17;Mariana;10%;Cliente Nuevo;La Estancia
341;03/06/2014;8;Saul;7%;Cliente Nuevo;La Estancia
342;23/02/2014;12;Alejandro;10%;Cliente Repetido;La Paz
343;24/01/2015;9;Mauricio;20%;Cliente Nuevo;Chapultepec
344;06/07/2014;8;Mariana;6%;Cliente Nuevo;Chapultepec
345;27/09/2014;9;Mauricio;20%;Cliente Nuevo;La Estancia
346;05/08/2014;13;Alejandro;15%;Cliente Nuevo;La Paz
347;08/03/2014;15;Ernesto;10%;Cliente Nuevo;La Paz
348;08/10/2014;2;Mariana;6%;Cliente Nuevo;La Estancia
349;20/01/2015;12;Omar;17%;Cliente Nuevo;Chapultepec
350;21/11/2014;8;Rodolfo;11%;Cliente Nuevo;La Estancia
351;23/08/2014;10;Valentina;13%;Cliente Repetido;La Paz
352;22/01/2015;11;Ernesto;12%;Cliente Nuevo;Chapultepec
353;15/12/2014;16;Omar;7%;Cliente Nuevo;Chapultepec
354;29/10/2014;15;Saul;8%;Cliente Repetido;La Estancia
355;18/06/2014;3;Ernesto;11%;Cliente Repetido;La Paz
356;30/09/2014;7;Saul;10%;Cliente Nuevo;Chapultepec
357;13/10/2014;7;Ernesto;5%;Cliente Repetido;La Estancia
358;14/04/2014;15;Joel;16%;Cliente Repetido;Chapultepec
359;23/05/2014;12;Omar;14%;Cliente Repetido;La Estancia
360;01/04/2014;6;Rodolfo;15%;Cliente Repetido;Chapultepec
361;04/07/2014;4;Alejandro;11%;Cliente Nuevo;Chapultepec
362;19/07/2014;1;Saul;15%;Cliente Nuevo;Chapultepec
363;15/12/2014;2;Mariana;6%;Cliente Repetido;La Estancia
364;25/01/2015;15;Valentina;16%;Cliente Nuevo;La Paz
365;06/08/2014;14;Saul;9%;Cliente Nuevo;Chapultepec
366;13/02/2014;11;Joel;17%;Cliente Nuevo;Chapultepec
367;01/10/2014;1;Joel;10%;Cliente Repetido;La Estancia
368;12/01/2015;17;Omar;9%;Cliente Nuevo;La Paz
369;20/02/2014;5;Omar;16%;Cliente Nuevo;La Paz
370;24/11/2014;17;Mariana;14%;Cliente Repetido;La Paz
371;01/04/2014;13;Ernesto;15%;Cliente Nuevo;La Estancia
372;01/07/2014;16;Rodolfo;12%;Cliente Nuevo;La Estancia
373;15/05/2014;2;Saul;10%;Cliente Nuevo;Chapultepec
374;21/03/2014;9;Joel;12%;Cliente Nuevo;La Paz
375;14/11/2014;14;Rodolfo;5%;Cliente Nuevo;La Paz
376;12/07/2014;3;Alejandro;8%;Cliente Nuevo;Chapultepec
377;15/12/2014;12;Valentina;9%;Cliente Repetido;La Estancia
378;17/03/2014;9;Ernesto;17%;Cliente Nuevo;La Estancia
379;16/05/2014;9;Valentina;5%;Cliente Nuevo;La Paz
380;13/12/2014;5;Mariana;6%;Cliente Nuevo;La Estancia
381;29/12/2014;12;Omar;13%;Cliente Repetido;La Paz
382;01/11/2014;1;Rodolfo;13%;Cliente Nuevo;Chapultepec
383;14/03/2014;4;Saul;5%;Cliente Nuevo;Chapultepec
384;30/11/2014;5;Omar;13%;Cliente Nuevo;La Estancia
385;03/07/2014;13;Joel;17%;Cliente Repetido;Chapultepec
386;11/09/2014;5;Omar;17%;Cliente Repetido;La Paz
387;02/04/2014;14;Omar;8%;Cliente Nuevo;La Estancia
388;31/12/2014;15;Saul;13%;Cliente Nuevo;Chapultepec
389;11/10/2014;14;Mauricio;20%;Cliente Nuevo;La Estancia
390;18/06/2014;10;Saul;7%;Cliente Nuevo;La Estancia
391;08/06/2014;12;Alejandro;12%;Cliente Nuevo;Chapultepec
392;29/08/2014;17;Valentina;5%;Cliente Nuevo;La Paz
393;11/07/2014;3;Joel;11%;Cliente Nuevo;La Paz
394;16/07/2014;4;Mariana;10%;Cliente Nuevo;Chapultepec
395;16/11/2014;9;Rodolfo;16%;Cliente Nuevo;La Estancia
396;31/01/2015;15;Alejandro;7%;Cliente Repetido;Chapultepec
397;20/02/2014;15;Rodolfo;17%;Cliente Repetido;La Paz
